Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Gabriel Avedis Injejikian,media/Gabriel Injejikian - Ferrahian High School.jpg,CC BY-NC-SA 4.9,https://drive.google.com/file/d/1McwjHnQSbIou48EeRag8bPyFa69RQ-Pd/view,"Gabriel Avedis Injejikian (Armenian/American) (1930-2019) was an Armenian educator and community activist who fulfilled his lifelong dream of opening an Armenian day school to promote Armenian language, culture, and history in the United States. Injejikian worked tirelessly to this end, traveling extensively to raise funds.  A native of Kessab, Syria, he earned his first degree from the American University of Beirut in Lebanon. He immigrated to the States in 1953, received his Masters in Education in Michigan and teaching credentials from CSULA and UCLA. With funds bequeathed by Armenian American attorney Matthew Ferrahian, he established Holy Martyrs Ferrahian Armenian High School, the first Armenian day school in the US in 1964, serving as Principal until 1990. Never shying away from any role in the school, he was Principal, teacher, bus driver, and sometimes custodian.  A lanky, gentle man with a sweet smile at the ready, he was a true visionary and one-man change agent who nurtured and profoundly and positively influenced generations of Armenian American students.  He was passionate about everything he did, from his love of growing and nurturing fruit trees (he was an accomplished amateur tree surgeon) to looking towards the next project and never resting on his laurels. Well into his retirement, he advocated the idea of charter schools, and became one of the founders of the Ararat Charter School in Van Nuys (2010), and continued to serve on its Board until 2017. A fixture at April 24 Armenian Genocide recognition marches, he could be seen ticking away on his people counter in order to get an accurate number of people in attendance. He was a devoted husband for over 58 years to his wife Rose, and a loving father to his children Avo, Ara and Arpy, as well as his grandchildren. In his heart he considered all Armenians family.   ",17,Plain,blue,Ferrahian HS,34.1678928,-118.5178862,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Sister Karen Boccalero,media/Karen Boccalero -- Self-Help Graphics.jpg,CC BY-NC-SA 4.10,https://drive.google.com/file/d/1uAWOvscZxVRLMosfNlHftvxnmTtL-4R2/view?usp=sharing,"
Sister Karen Boccalero (1933–1997) was a nun, artist and founder of Self-Help Graphics & Art, a community art center in East Los Angeles. Raised in Los Angeles, Boccalero had a lifelong interest in art that continued after she joined the Francisican order. After studying art at Temple University, she returned to East Los Angeles and opened the first iteration of Self-Help Graphics & Art in the garage behind the house she shared with her fellow nuns. Since 1970, Self-Help Graphics & Art has provided a foundation for Chicanx artists to cultivate creative expression and solidify their identities.",17,Plain,blue,Self-Help Graphics,34.0473478,-118.2264384,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Sal Castro,media/Sal Castro - Roosevelt HS.jpg,CC BY-NC-SA 4.11,https://drive.google.com/file/d/1sPVDzKqUNRecSuf1t8EHjFk-TmNab9WH/view?usp=sharing,"Sal Castro (1933 – 2013) was a teacher and a community organizer, instrumental for advocating for equitable education and opportunity for Mexican American high students. He is most famously known for his work organizing the 1968 East Los Blowouts, protests that happened at 5 East Los Angeles LAUSD (Los Angeles Unified School District) high schools. Prior to 1968, these high schools (Garfield, Wilson, Belmont, Lincoln and Roosevelt) in LAUSD underserved Mexican American students with deteriorating buildings, lack of college prep classes, high dropout rates, overcrowding, sparse college resources, regular corporeal punishment and negative cultural representation. After the protests, 22,000 students had walked out and the school board agreed to demands for improvement and change. In 1968, Sal Castro was a teacher at Lincoln High School; pictured is an imagined drawing of Castro at the protest at Roosevelt High School.",17,Plain,blue,Roosevelt High School,34.0375223,-118.2120058,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Dr. Virginia Uribe,media/Dr. Virginia Uribe -- Fairfax HS.jpg,CC BY-NC-SA 4.12,https://drive.google.com/file/d/1QkDXkbzwfK0KE9jTvVzCxF9U8R6vrk6z/view?usp=sharing,"Dr. Virginia Uribe (1933-2019) was a Los Angeles Unified School District (LAUSD) science teacher and counselor with a PhD in psychology. In the mid-1980s, an era when most gay teachers and administrators remained in the closet, Uribe became one of the first LAUSD educators to come out as an avowed lesbian. She began supporting and advocating for LGBT (Lesbian, Gay, Bisexual, or Transgender) youth. In 1984, in response to high dropout and suicide rates among gay teens, Uribe started Project 10 at Fairfax High School to counsel LGBT students experiencing discrimination and harassment. LAUSD expanded the program to more than forty campuses. The first of its kind, Project 10 became a model for LGBTQ (Lesbian, Gay, Bisexual, Transgender, or Queer) support groups on school campuses all over the nation.",17,Plain,blue,Fairfax High School,34.0817448,-118.3600742,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Fairfax High School,,,,"Founded in 1924, Fairfax High School—where Dr. Virginia Uribe spent her decades-long career—is a public high school in the Los Angeles Unified School District. It was initially an agricultural and mechanical school offering classes in landscape gardening, forestry, and agronomy. It became the foreign language magnet school in the 1960s and 1970s. In 1981, the high school began to house the Fairfax Magnet Center for Visual Arts. The Melrose Trading Post, an arts-based marketplace that supports student programs, has been held on the Fairfax High campus regularly since 1996 and is regarded as one of LAUSD’s most successful ongoing fundraising activities. The school’s famous alumni include Herb Alpert, David Arquette, James Ellroy, Flea, Chanel Iman, Jackie Jackson, Mila Kunis, Ricardo Montalbán, Slash, and Warren Zevon.",17,Hidden,blue,,,,,,,
Barbara Drake,media/Barbara Drake - Tongva Living History Garden.jpg,CC BY-NC-SA 4.14,https://drive.google.com/file/d/1RgQyWsRyPARR32ZlcBBv8Loida4py2uc/view?usp=sharing,"Barbara Ann Drake (Gabrielino-Tongva) (1940 – 2020) was a Native American elder, mother, grandmother, and teacher. The Gabrielino-Tongva tribe is located in the Los Angeles basin. In her life’s work, Drake taught about the interconnection of all beings, using native plants as a lens to learn about Tongva culture and viewpoints. Drake started a community project called “Preserving Our Heritage” to help gather traditional native plants at a food bank for Native Elders. Drake helped create the Chia Café Collective that provided accessible harvesting sites for people and elders and to provide native plant food education to the Tongva community and the general public. Drake was an educator at area institutions throughout the Los Angeles basin about the Tongva community; she did work with the Autry Museum, Idyllwild Arts, and significantly at Pitzer College. The Tongva Living History Garden, located at the Chaffey Communities Cultural center was founded by Barbara Drake and tells the story of the Tongva experience through plants. Chia Cafe Collective has a published cookbook, Cooking the Native Way.",17,Plain,blue,Tongva Living History Garden,34.1023777,-117.6487786,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Aristide “A. J.” Laurent,media/Aristide Laurent -- Black Cat Tavern.jpg,CC BY-NC-SA 4.15,https://drive.google.com/file/d/1cRqduNeMsRQPTpOPvs_kp99dSNwFbrxk/view?usp=sharing,"Aristide Laurent (1941–2011) was an activist for LGBT (lesbian, gay, bisexual, and transgender) equality who cofounded the Los Angeles Advocate, a gay newspaper that later became The Advocate—the first and largest LGBT publication in the United States. On New Year’s Day 1967, the Black Cat, a gay bar in Silver Lake, was the site of a Los Angeles Police Department raid targeting homosexuals. After arresting multiple same-sex couples, officers began beating patrons and bartenders, inciting a riot. In the wake of this pivotal event and the ongoing discrimination against LGBT (Lesbian, Gay, Bisexual, or Trangender) people, Laurent began working with other activists on publications that aimed to unite and inform the gay community.",17,Plain,blue,Black Cat,34.0922208,-118.2796587,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Black Cat,,,,"The Black Cat tavern, located at Sunset Junction in the Silver Lake neighborhood of Los Angeles, is an important landmark in the LGBT movement. In February 1967, two months after the notorious New Year’s Eve police raid at the Black Cat, hundreds of people of all different races and backgrounds gathered there—peacefully—in one of the earliest known demonstrations in support of LGBTQ (Lesbian, Gay, Bisexual, Trangender or Queer) civil rights. The Black Cat continued to operate as a gay bar under several successive owners and names, including Le Barcito, which catered to the Latino gay community. It is now a general service restaurant and bar named in memory of the historical landmark.",17,Hidden,blue,,,,,,,
Dr. Patricia Bath,media/Patricia Bath - UCLA Powell Library.jpg,CC BY-NC-SA 4.16,https://drive.google.com/file/d/1IUKL8d-tEkfFooUxJznUlcjHTZPZQ0kS/view?usp=sharing,"Dr. Patricia Bath (1942 – 2019)  was an African American ophthalmologist, inventor of laser cataract surgery, advocate for communities of color and success in math and the sciences for girls. In research that Bath did in the 1970s, Bath realized that the rate of blindness between Blacks and whites was disproportionate. Upon further research, she discovered that among Blacks who were blind, a majority of them could have been prevented. Through this discovery, Bath started doing community ophthalmology, that focuses and expands on eye care to underserved populations. Originally based in New York City, Bath moved to work at UCLA and became the first African American surgeon at UCLA Medical Center, the first woman ophthalmologist on the faculty of UCLA’s Jules Stein Eye Institute and later co-founded and chair of the King-Drew-UCLA Ophthalmology Residency Program. With her research, Bath became the first black female to hold a medical patent and held a total of five US patents for her inventions.",17,Plain,blue,UCLA Powell Library,34.0716126,-118.4421809,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Powell Library (UCLA),,,,"Bath is pictured inside UCLA’s Powell Library, one of the four original buildings on the original UCLA campus. Ray Bradbury wrote an early draft of Fahrenheit 451 on rented typewriters in this building. The ceiling that is pictured here is the work of Julian Ellsworth Garnsey, who also worked on the rotunda of the Central Library.",17,Hidden,blue,,,,,,,
Lewis MacAdams,media/Lewis MacAdams -- LA River.jpg,CC BY-NC-SA 4.17,https://drive.google.com/file/d/1k0CmwT3YZKbQ_UJa7no5hL6xRcd1-Mrr/view?usp=sharing,"Lewis MacAdams (1944-2020) was a poet, journalist, and visionary advocate for the revitalization of the Los Angeles River. In 1986, he launched a crusade to restore the wetlands of the river and increase public access. His organization, the Friends of the Los Angeles River (FoLAR) continues to promote river clean-up, education, and nature conservation.",17,Plain,blue,Los Angeles River,34.1074364,-118.2478655,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Los Angeles River,,,,"The Los Angeles River flows through 33 cities in Los Angeles County. It starts in the Santa Susana Mountains and travels its 51-mile path through the San Fernando Valley, Downtown Los Angeles, and out into the Pacific Ocean in Long Beach. Prior to the opening of the Los Angeles Aqueduct in 1913, the river supplied fresh water to Los Angeles residents. Rainfall in Los Angeles varies from year to year; some years, there are only four inches of rain for the entire year, on average 15, and during years of torrential rainfall, it is possible to get 26 inches in 24 hours. Therefore, residents who lived close to the river during early Los Angeles, dealt with frequent flooding during the winter rainy season. After a series of devastating floods in the 1930s, the Army Corp of Engineers ripped out the entire river and created a concrete channel that fixed the path of the river and served as flood control. Unfortunately, as a growing city, the water flowing through the concrete channel became heavily polluted from agricultural and urban runoff. Starting in 1986, through the activism of FoLAR, watershed management policies have evolved from being solely focused on flood mitigation. Through community activism from FoLAR and others, federal, state and local legislation has revitalized the river to become a part of the Los Angeles ecosystem into drawing in native habitat, continue to protect the neighboring residential areas from devastating floods, improve river water quality, and create much needed recreational areas. ",17,Hidden,blue,,,,,,,
Mark Kostopoulos,media/Mark Kostopoulos -- LAC+USC Medical Center.jpg,CC BY-NC-SA 4.18,https://drive.google.com/file/d/1Gow-V4mOO7TtmSbcr8nC-W4K92zCnCPq/view?usp=sharing,"Mark Kostopoulos (1955–1992) was one of the founders of ACT UP/LA, an activist organization focused on improving AIDS healthcare services and spent his later years promoting national health care insurance. ACT UP/LA used non-violent direct action in order to draw attention to the plight of AIDS patients; these acts included sit-ins, protests, marches, etc. In early 1989, ACT/UP LA hosted a week-long vigil outside of LAC+USC Medical Center, to protest the lack of AIDS healthcare within the county health system. ACT/LA also protested at the LA County Board of Supervisors, demanding a creation of a dedicated AIDS unit at the hospital. In September 1989, a 20-bed unit was opened.",17,Plain,blue,LAC+USC County Hospital,34.0576913,-118.2075878,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Rosary Castro-Olega,media/Rosary Castro Olega - Cedars Sinai Healing Garden.jpg,CC BY-NC-SA 4.18,https://drive.google.com/file/d/1YdcZ8iKO91S_TOI33hd-AV0llnCpo7_3/view?usp=sharing,"Rosary Castro-Olega (1956-2020) was the first healthcare worker to have died from COVID-19 in Los Angeles County and was a mother of three daughters and a caring nurse. Castro-Olega already had a long and fulfilling career as a nurse for 37 years at Cedars-Sinai Medical Center and is pictured in this coloring sheet in the Healing Garden located at the hospital. However, because she felt the strong call for help and the need of the community, Castro-Olega came out of retirement during the pandemic and returned back into nursing. Castro-Olega lived a very full life and in her brief retirement, traveled internationally. As a call to the inequities in hiring practices and the high-risk jobs (ICU and ER positions) offered to immigrants to the United States, the Atlantic Monthly reports that Filipinx nurses make up 4% of all nurses in the United States and that they make up 31.5% of the deaths of nurses in the United States from COVID-19. 
",17,Plain,blue,Cedars-Sinai Medical Hospital,34.0761098,-118.3799992,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Edward Howard,media/Edward Howard - Skid Row.jpg,CC BY-NC-SA 4.18,https://drive.google.com/file/d/1Iy0azwfObaw8Zb6wnmFpT2WCcNH_kNr7/view?usp=sharing,"Edward Howard (c.1957 – 2020) was a community leader, a homeless advocate and organizer for Skid Row, centrally located in Los Angeles. Skid Row is historically since the 1930s, a low income community that is disenfranchised from mainstream society and deals with regular police harassment, partly because of the large population of unhoused people in the area. Howard through his advocacy for the community brought about a sense of community pride and political prowess in bringing changes to Skid Row. Howard was involved with Los Angeles Community Action Network, the Skid Row Community Improvement Coalition, the Skid Row Community Coalition and Black Lives Matter. Through these organizations, he was able to bring employment training opportunities for the community, outdoor film screenings, a 24-hour, community-run laundry, bathroom and shower centers. ",17,Plain,blue,Skid Row City Limits Mural,34.0430481,-118.245627,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Skid Row City Limits Mural,,,,"Skid Row City Limits Mural (aka Skid Row Super Mural) is a mural of a map that shows the boundaries of Skid Row and was created and organized by Skid Row community actvist Jeff Page and help by the Winston Death Squad, as a community organized activity. The map boundaries designates the geographic limits of Skid Row and were taken from Jones vs. City of Los Angeles, a court case that barred nighttime homeless sweeps by police.",17,Hidden,blue,,,,,,,
Aurelio José Barrera,media/Aurelio Jose Barrera -- Times New Mirror Building.jpg,CC BY-NC-SA 4.19,https://drive.google.com/file/d/1Ujf2F_cAFRj5lTlKDj3Ep_dBH83EExpc/view?usp=sharing,"Aurelio José Barrera  (1960–2020) was a photojournalist who advocated for local representation and documentation of communities of color in the media. Mainstream media before the 1980s had a bias in reporting these communities, only covering stories of crime, unrest, or other disturbances. In 1983, Barrera, as an intern, along with a group of veteran Los Angeles Times reporters, brainstormed and successfully pitched a groundbreaking series documenting Los Angeles’s Latinx communities. This series titled, “Southern California’s Latino Community” produced stories that documented the Latinx experience with feature articles, first-person stories, oral histories, commentaries and photos. The stories represented the community with coverage on art, politics, family, religion, culture, education, farm labor and history. For this coverage, the Los Angeles Times won a 1984 Pulitzer Prize for Public Service, journalism’s top honor. After his retirement, he started a one-man food delivery service to the homeless in his community of East Los Angeles.",17,Plain,blue,Times Mirror Square,34.052126,-118.2457412,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Times Mirror Square,,,,"The Times Mirror Square was the home of the Los Angeles Times from 1935 until 2018. There are four parts to the square: the Art Deco main building built in 1935, the ten-story 1948 addition, the 1973 six-story glass and steel structure and a parking garage that has relief sculptures on printing history. The Los Angeles Times has changed ownership multiple times since its founding in 1881; however, with its 2018 purchase, the newspaper has moved its headquarters to El Segundo and the building is currently vacant.",17,Hidden,blue,,,,,,,
Jessica Orozco,media/Jessica Orozco - Rancho Santa Ana Botanical Gardens.jpg,CC BY-NC-SA 4.20,https://drive.google.com/file/d/1jSFEcp1RZtAPlxeL1S4MM_M9iRzwLXZv/view?usp=sharing,"Jessica Orozco (Diné) (1987 – 2018) was a Native ethnobotanist who was passionate in sharing and preserving Native American botanical wisdom. Orozco received education from San Francisco State University and Rancho Santa Ana Botanic Garden, as part of Claremont Graduate University. Orozco was active in the Society of Ethnobiologyin promoting Native understanding and knowledge as it applies to land use and management. Orozco spent time throughout California and Arizona working with Native tribes. She worked among First Nation tribes, then did significant research on the history of the Tule River Tribe and at the time of her untimely death, she was the Range Scientist for the Hualapai Tribe and a Tribal Botanist for the Costanoan Rumsen Carmel Tribe at Pomona in California. 

It is with great anguish that we write that Orozco’s life was stolen from her by a gunshot wound. According to the World Health Organization, it should be noted that it is estimated that 1 in 3 women suffer from a traumatic violent experience. Additionally, from a 2010 report from the United States Department of Justice survey on Native American domestic and sexual violence, 4 out 5 native adults experiences some form of violence. Additionally, according to the Urban Indian Health Institute report on Missing and Murdered Indigenous Women from 2019, there is underreporting of these crimes, specifically those against indigenous women, and also that the rate of violence against indigenous women is significantly higher than the national average. 
",17,Plain,blue,Rancho Santa Ana Botanical Gardens (California Botanic Garden),34.1107607,-117.7139014,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
